Task_ID,clean,subject,object,correct_idx,corrupted,corrupted_object,incorrect_idx
2,Howard Glacier is on the continent of,Howard Glacier, Antarctica,30185,Niger is on the continent of, Africa,5478
6,Rutgers Glacier is on the continent of,Rutgers Glacier, Antarctica,30185,Swedish Empire is on the continent of, Europe,2031
34,Niger is on the continent of,Niger, Africa,5478,Segura is on the continent of, Europe,2031
52,Namibia is on the continent of,Namibia, Africa,5478,Umber Island is on the continent of, Antarctica,30185
58,Monte San Giorgio is on the continent of,Monte San Giorgio, Europe,2031,Forster Ice Piedmont is on the continent of, Antarctica,30185
60,Scheldt is on the continent of,Scheldt, Europe,2031,Spur Point is on the continent of, Antarctica,30185
97,South Pole Traverse is on the continent of,South Pole Traverse, Antarctica,30185,Udupi district is on the continent of, Asia,7229
113,United Kingdom of the Netherlands is on the continent of,United Kingdom of the Netherlands, Europe,2031,Rothera Research Station is on the continent of, Antarctica,30185
123,Emmanuel Glacier is on the continent of,Emmanuel Glacier, Antarctica,30185,United Arab Emirates is on the continent of, Asia,7229
127,Gambia River is on the continent of,Gambia River, Africa,5478,Chuprene Glacier is on the continent of, Antarctica,30185
128,Skelton Glacier is on the continent of,Skelton Glacier, Antarctica,30185,Kalahari Desert is on the continent of, Africa,5478
130,Austria-Hungary is on the continent of,Austria-Hungary, Europe,2031,Dufek Massif is on the continent of, Antarctica,30185
140,Antarctic Plateau is on the continent of,Antarctic Plateau, Antarctica,30185,Gornergrat is on the continent of, Europe,2031
141,Bertram Glacier is on the continent of,Bertram Glacier, Antarctica,30185,Gambia River is on the continent of, Africa,5478
150,Gordon Glacier is on the continent of,Gordon Glacier, Antarctica,30185,Elbe is on the continent of, Europe,2031
153,English Channel is on the continent of,English Channel, Europe,2031,Marsh Glacier is on the continent of, Antarctica,30185
157,Thomas Glacier is on the continent of,Thomas Glacier, Antarctica,30185,Snowdon is on the continent of, Europe,2031
159,Liberia is on the continent of,Liberia, Africa,5478,Storm Peak is on the continent of, Antarctica,30185
163,Guinea-Bissau is on the continent of,Guinea-Bissau, Africa,5478,Air New Zealand Flight 901 is on the continent of, Antarctica,30185
166,David Glacier is on the continent of,David Glacier, Antarctica,30185,Wallonia is on the continent of, Europe,2031
175,Northwind Glacier is on the continent of,Northwind Glacier, Antarctica,30185,Nigeria is on the continent of, Africa,5478
187,Germany is on the continent of,Germany, Europe,2031,Egypt is on the continent of, Africa,5478
189,Zechstein is on the continent of,Zechstein, Europe,2031,Signy Island is on the continent of, Antarctica,30185
196,Eswatini is on the continent of,Eswatini, Africa,5478,Violante Inlet is on the continent of, Antarctica,30185
