Task_ID,clean,subject,object,correct_idx,corrupted,corrupted_object,incorrect_idx
8,R.A. Dickey plays professionally in the sport of,R.A. Dickey, baseball,9283,Ilya Kovalchuk plays professionally in the sport of, hockey,12217
12,Terrell Owens plays professionally in the sport of,Terrell Owens, football,4346,Wayne Rooney plays professionally in the sport of, soccer,11783
14,Tom Harmon plays professionally in the sport of,Tom Harmon, football,4346,Ty Cobb plays professionally in the sport of, baseball,9283
16,Michael Umaña plays professionally in the sport of,Michael Umaña, soccer,11783,Herschel Walker plays professionally in the sport of, football,4346
18,Igor Larionov plays professionally in the sport of,Igor Larionov, hockey,12217,Herculez Gomez plays professionally in the sport of, soccer,11783
20,Dennis Rodman plays professionally in the sport of,Dennis Rodman, basketball,9669,Zack Steffen plays professionally in the sport of, soccer,11783
24,Arvydas Sabonis plays professionally in the sport of,Arvydas Sabonis, basketball,9669,Zdeno Chára plays professionally in the sport of, hockey,12217
26,Landon Donovan plays professionally in the sport of,Landon Donovan, soccer,11783,Oscar Robertson plays professionally in the sport of, basketball,9669
27,Tim Tebow plays professionally in the sport of,Tim Tebow, football,4346,Moe Berg plays professionally in the sport of, baseball,9283
29,Magic Johnson plays professionally in the sport of,Magic Johnson, basketball,9669,Fred Williamson plays professionally in the sport of, football,4346
31,Andrea Pirlo plays professionally in the sport of,Andrea Pirlo, soccer,11783,Alexei Kovalev plays professionally in the sport of, hockey,12217
33,Bud Grant plays professionally in the sport of,Bud Grant, football,4346,Brad Friedel plays professionally in the sport of, soccer,11783
34,Jesse Hibbs plays professionally in the sport of,Jesse Hibbs, football,4346,Joakim Noah plays professionally in the sport of, basketball,9669
38,Ryan Smyth plays professionally in the sport of,Ryan Smyth, hockey,12217,Terry Crews plays professionally in the sport of, football,4346
40,Joakim Noah plays professionally in the sport of,Joakim Noah, basketball,9669,Mauricio Wright plays professionally in the sport of, soccer,11783
42,Sergei Fedorov plays professionally in the sport of,Sergei Fedorov, hockey,12217,Shaquille O'Neal plays professionally in the sport of, basketball,9669
43,Chris Paul plays professionally in the sport of,Chris Paul, basketball,9669,Bill Goldberg plays professionally in the sport of, football,4346
47,Herschel Walker plays professionally in the sport of,Herschel Walker, football,4346,Matteo Ferrari plays professionally in the sport of, soccer,11783
48,Bobby Hull plays professionally in the sport of,Bobby Hull, hockey,12217,Moe Berg plays professionally in the sport of, baseball,9283
50,Ed O'Neill plays professionally in the sport of,Ed O'Neill, football,4346,Freddy Adu plays professionally in the sport of, soccer,11783
53,Dennis Seidenberg plays professionally in the sport of,Dennis Seidenberg, hockey,12217,Carlos Beltrán plays professionally in the sport of, baseball,9283
